InvoiceID,SalesLineID_EU,InvoiceDate,CustomerID,CustomerOrderCount,CustomerSegment,Country,MarketRegion,StockCode,Description,ProductCategory,ProductMaterial,ProductColor,UnitPrice_EU,VAT_RATE,VAT_Amount_EU,UnitPrice_Gross_EU,UnitCost_EU,CostAmount_EU,Shipping_Zone_EU,Shipping_Fee_EU,Currency,Quantity,CustomerType_EU,GDPR_Consent_EU,PreferredLanguage_EU,CustomerTenureDays_EU,LoyaltyScore_EU,Brand_EU,ProductSize_EU,EcoLabel_EU,ReturnWindowDays_EU,VAT_Class_EU,IntraEU_Flag_EU,InvoiceType_EU,Carrier_EU,ShippingMethod_EU,EstimatedDeliveryDays_EU,FreeShippingFlag_EU,LineDiscountRate_EU,LoyaltyMember_EU,LoyaltyTier_EU,ContactEmail_EU,ContactPhone_EU,ContactChannel_EU,MarketingOptIn_EU,PreferredContactHours_EU,AccountStatus_EU
EU_576345_R2,EU_LN_123696,1/11/26 2:47,12374,1,NEW,Austria,EU,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,MISC,OTHER,UNKNOWN,1.65,0.2,0.33,1.98,0.99,9.9,EU_CENTRAL,5.99,EUR,10,B2C,1,DE,0,3,XMAS_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_576345_R2,EU_LN_123709,1/11/26 2:47,12374,1,NEW,Austria,EU,21789,KIDS RAIN MAC PINK,MISC,OTHER,PINK,0.85,0.2,0.17,1.02,0.51,12.24,EU_CENTRAL,0.0,EUR,24,B2C,0,DE,0,3,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_C538971_R6,EU_LN_258661,3/10/25 22:49,12865,3,NEW,Austria,EU,22153,ANGEL DECORATION STARS ON DRESS,MISC,OTHER,UNKNOWN,0.42,0.2,0.08,0.5,0.25,-12.0,EU_CENTRAL,5.99,EUR,-48,B2C,1,DE,0,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_550998_R9,EU_LN_397776,8/10/25 20:22,12414,3,NEW,Austria,EU,POST,POSTAGE,MISC,OTHER,UNKNOWN,40.0,0.2,8.0,48.0,24.0,24.0,EU_CENTRAL,5.99,EUR,1,B2C,1,DE,82,9,HOME_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_562602_R5,EU_LN_236870,10/25/25 21:21,12865,3,NEW,Austria,EU,22029,SPACEBOY BIRTHDAY CARD,CARD,OTHER,UNKNOWN,0.42,0.2,0.08,0.5,0.25,3.0,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,235,24,HOME_LINE,M,0,14,REDUCED,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.03,0,NONE,,,NONE,0,10-18,NEW
EU_576345,EU_LN_37941,12/28/25 2:47,12374,1,NEW,Austria,EU,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,MISC,OTHER,UNKNOWN,0.79,0.2,0.16,0.95,0.47,8.46,EU_CENTRAL,5.99,EUR,18,B2C,1,DE,0,3,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_552202_R3,EU_LN_141155,7/10/25 2:01,12414,3,NEW,Austria,EU,21207,SKULL AND CROSSBONES  GARLAND ,MISC,OTHER,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,93,9,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_554132_R11,EU_LN_485988,9/20/25 20:53,12360,3,NEW,Austria,EU,21989,PACK OF 20 SKULL PAPER NAPKINS,MISC,PAPER,UNKNOWN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_542887_R2,EU_LN_91017,3/31/25 0:20,12373,1,NEW,Austria,EU,21931,JUMBO STORAGE BAG SUKI,BAG,OTHER,UNKNOWN,1.95,0.2,0.39,2.34,1.17,23.4,EU_CENTRAL,0.0,EUR,20,B2C,1,DE,0,21,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.1,0,NONE,,,NONE,0,10-18,NEW
EU_576345_R6,EU_LN_295235,2/8/26 2:47,12374,1,NEW,Austria,EU,22644,CERAMIC CHERRY CAKE MONEY BANK,MISC,CERAMIC,UNKNOWN,1.45,0.2,0.29,1.74,0.87,10.44,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,3,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_576019_R4,EU_LN_209159,1/24/26 1:41,12865,3,NEW,Austria,EU,22337,ANGEL DECORATION PAINTED ZINC ,MISC,OTHER,UNKNOWN,0.65,0.2,0.13,0.78,0.39,9.36,EU_CENTRAL,0.0,EUR,24,B2C,0,DE,333,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_551054_R1,EU_LN_54771,6/15/25 22:54,12429,4,NEW,Austria,EU,22544,MINI JIGSAW SPACEBOY,MISC,OTHER,UNKNOWN,0.42,0.2,0.08,0.5,0.25,6.0,EU_CENTRAL,0.0,EUR,24,B2C,1,DE,137,16,HOME_LINE,XS,1,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,0,NONE,,,NONE,1,8-16,NEW
EU_543027_R10,EU_LN_434153,5/27/25 2:01,12414,3,NEW,Austria,EU,POST,POSTAGE,MISC,OTHER,UNKNOWN,40.0,0.2,8.0,48.0,24.0,24.0,EU_CENTRAL,5.99,EUR,1,B2C,1,DE,0,9,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_542887_R5,EU_LN_219667,4/21/25 0:20,12373,1,NEW,Austria,EU,22356,CHARLOTTE BAG PINK POLKADOT,BAG,OTHER,PINK,0.85,0.2,0.17,1.02,0.51,5.1,EU_CENTRAL,5.99,EUR,10,B2C,0,DE,0,21,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.1,0,NONE,,,NONE,0,10-18,NEW
EU_571705,EU_LN_33294,12/1/25 2:32,12360,3,NEW,Austria,EU,22572,ROCKING HORSE GREEN CHRISTMAS ,MISC,OTHER,GREEN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,XMAS_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_576019_R8,EU_LN_380672,2/21/26 1:41,12865,3,NEW,Austria,EU,22845,VINTAGE CREAM CAT FOOD CONTAINER,MISC,OTHER,UNKNOWN,6.35,0.2,1.27,7.62,3.81,7.62,EU_CENTRAL,5.99,EUR,2,B2C,1,DE,333,24,VINTAGE_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_562602_R11,EU_LN_494187,12/6/25 21:21,12865,3,NEW,Austria,EU,23198,PANTRY MAGNETIC  SHOPPING LIST,MISC,OTHER,UNKNOWN,1.45,0.2,0.29,1.74,0.87,10.44,EU_CENTRAL,5.99,EUR,12,B2C,0,DE,235,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_576345_R3,EU_LN_166571,1/18/26 2:47,12374,1,NEW,Austria,EU,22423,REGENCY CAKESTAND 3 TIER,MISC,OTHER,UNKNOWN,12.75,0.2,2.55,15.3,7.65,15.3,EU_CENTRAL,5.99,EUR,2,B2C,0,DE,0,3,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_571705_R10,EU_LN_462080,2/9/26 2:32,12360,3,NEW,Austria,EU,22816,CARD MOTORBIKE SANTA,CARD,OTHER,UNKNOWN,0.42,0.2,0.08,0.5,0.25,3.0,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,HOME_LINE,M,0,14,REDUCED,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.03,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_571705_R4,EU_LN_204843,12/29/25 2:32,12360,3,NEW,Austria,EU,22554,PLASTERS IN TIN WOODLAND ANIMALS,MISC,WOOD,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_562602_R6,EU_LN_279763,11/1/25 21:21,12865,3,NEW,Austria,EU,22077,6 RIBBONS RUSTIC CHARM,MISC,OTHER,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,0,DE,235,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_571705_R1,EU_LN_76173,12/8/25 2:32,12360,3,NEW,Austria,EU,22571,ROCKING HORSE RED CHRISTMAS ,MISC,OTHER,RED,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,XMAS_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_543027,EU_LN_5347,3/18/25 2:01,12414,3,NEW,Austria,EU,17003,BROCADE RING PURSE ,MISC,OTHER,UNKNOWN,0.21,0.2,0.04,0.25,0.13,4.68,EU_CENTRAL,0.0,EUR,36,B2C,1,DE,0,9,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_563749_R8,EU_LN_366718,11/26/25 21:20,12360,3,NEW,Austria,EU,21576,LETS GO SHOPPING COTTON TOTE BAG,BAG,OTHER,UNKNOWN,2.25,0.2,0.45,2.7,1.35,8.1,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,88,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.1,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_562602_R5,EU_LN_236909,10/25/25 21:21,12865,3,NEW,Austria,EU,23150,IVORY SWEETHEART SOAP DISH,MISC,OTHER,UNKNOWN,2.49,0.2,0.5,2.99,1.49,8.94,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,235,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_547493_R6,EU_LN_266768,6/16/25 23:16,12818,2,NEW,Austria,EU,22139,RETROSPOT TEA SET CERAMIC 11 PC ,MISC,CERAMIC,UNKNOWN,4.25,0.2,0.85,5.1,2.55,61.2,EU_CENTRAL,0.0,EUR,24,B2C,0,DE,0,12,RETRO_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,0,NONE,,,NONE,0,16-20,NEW
EU_571705_R10,EU_LN_462094,2/9/26 2:32,12360,3,NEW,Austria,EU,22572,ROCKING HORSE GREEN CHRISTMAS ,MISC,OTHER,GREEN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,XMAS_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_571705_R5,EU_LN_247685,1/5/26 2:32,12360,3,NEW,Austria,EU,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,MISC,OTHER,UNKNOWN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,148,8,VINTAGE_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_552202_R1,EU_LN_55394,6/26/25 2:01,12414,3,NEW,Austria,EU,21172,PARTY METAL SIGN ,MISC,METAL,UNKNOWN,1.45,0.2,0.29,1.74,0.87,10.44,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,93,9,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_563749_R1,EU_LN_66567,10/8/25 21:20,12360,3,NEW,Austria,EU,23285,PINK VINTAGE SPOT BEAKER,MISC,OTHER,PINK,0.85,0.2,0.17,1.02,0.51,4.08,EU_CENTRAL,5.99,EUR,8,B2C,1,DE,88,8,VINTAGE_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_554132_R11,EU_LN_486009,9/20/25 20:53,12360,3,NEW,Austria,EU,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,BOX,OTHER,UNKNOWN,2.95,0.2,0.59,3.54,1.77,10.62,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,0,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.03,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_571705_R9,EU_LN_419229,2/2/26 2:32,12360,3,NEW,Austria,EU,22139,RETROSPOT TEA SET CERAMIC 11 PC ,MISC,CERAMIC,UNKNOWN,4.95,0.2,0.99,5.94,2.97,17.82,EU_CENTRAL,5.99,EUR,6,B2C,0,DE,148,8,RETRO_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_576019_R1,EU_LN_80522,1/3/26 1:41,12865,3,NEW,Austria,EU,23210,WHITE ROCKING HORSE HAND PAINTED,MISC,OTHER,WHITE,1.25,0.2,0.25,1.5,0.75,18.0,EU_CENTRAL,0.0,EUR,24,B2C,1,DE,333,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_576345_R7,EU_LN_338099,2/15/26 2:47,12374,1,NEW,Austria,EU,22733,3D TRADITIONAL CHRISTMAS STICKERS,MISC,OTHER,UNKNOWN,1.25,0.2,0.25,1.5,0.75,13.5,EU_CENTRAL,5.99,EUR,18,B2C,1,DE,0,3,XMAS_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_563749_R4,EU_LN_195213,10/29/25 21:20,12360,3,NEW,Austria,EU,20677,PINK POLKADOT BOWL,MISC,OTHER,PINK,1.25,0.2,0.25,1.5,0.75,6.0,EU_CENTRAL,5.99,EUR,8,B2C,1,DE,88,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_576019_R9,EU_LN_423554,2/28/26 1:41,12865,3,NEW,Austria,EU,20718,RED RETROSPOT SHOPPER BAG,BAG,OTHER,RED,1.25,0.2,0.25,1.5,0.75,7.5,EU_CENTRAL,5.99,EUR,10,B2C,1,DE,333,24,RETRO_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.1,0,NONE,,,NONE,0,10-18,NEW
EU_571705,EU_LN_33300,12/1/25 2:32,12360,3,NEW,Austria,EU,84375,SET OF 20 KIDS COOKIE CUTTERS,MISC,OTHER,UNKNOWN,2.1,0.2,0.42,2.52,1.26,15.12,EU_CENTRAL,5.99,EUR,12,B2C,0,DE,148,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_561627_R11,EU_LN_492745,11/26/25 1:18,12453,1,NEW,Austria,EU,22557,PLASTERS IN TIN VINTAGE PAISLEY ,MISC,OTHER,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,20,VINTAGE_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_561627_R9,EU_LN_407027,11/12/25 1:18,12453,1,NEW,Austria,EU,22554,PLASTERS IN TIN WOODLAND ANIMALS,MISC,WOOD,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,20,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_576019_R4,EU_LN_209167,1/24/26 1:41,12865,3,NEW,Austria,EU,23247,BISCUIT TIN 50'S CHRISTMAS,MISC,OTHER,UNKNOWN,2.89,0.2,0.58,3.47,1.73,10.38,EU_CENTRAL,5.99,EUR,6,B2C,0,DE,333,24,XMAS_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_561627_R9,EU_LN_407001,11/12/25 1:18,12453,1,NEW,Austria,EU,22050,PINK PAISLEY ROSE GIFT WRAP,MISC,OTHER,PINK,0.42,0.2,0.08,0.5,0.25,6.25,EU_CENTRAL,0.0,EUR,25,B2C,1,DE,0,20,GIFT_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,STANDARD,3,1,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_576345_R3,EU_LN_166593,1/18/26 2:47,12374,1,NEW,Austria,EU,22955,36 FOIL STAR CAKE CASES ,MISC,OTHER,UNKNOWN,2.1,0.2,0.42,2.52,1.26,7.56,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,0,3,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12374@loyal.eu,+43 555 374 374,SMS,1,8-16,NEW
EU_543027_R2,EU_LN_91110,4/1/25 2:01,12414,3,NEW,Austria,EU,22557,PLASTERS IN TIN VINTAGE PAISLEY ,MISC,OTHER,UNKNOWN,1.65,0.2,0.33,1.98,0.99,11.88,EU_CENTRAL,5.99,EUR,12,B2C,0,DE,0,9,VINTAGE_CO,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12414@loyal.eu,+43 555 414 414,SMS,1,8-16,NEW
EU_554132_R6,EU_LN_271625,8/16/25 20:53,12360,3,NEW,Austria,EU,21245,GREEN POLKADOT PLATE ,MISC,OTHER,GREEN,1.69,0.2,0.34,2.03,1.01,8.08,EU_CENTRAL,5.99,EUR,8,B2C,1,DE,0,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_576019_R5,EU_LN_252049,1/31/26 1:41,12865,3,NEW,Austria,EU,84832,ZINC WILLIE WINKIE  CANDLE STICK,CANDLE,OTHER,UNKNOWN,0.85,0.2,0.17,1.02,0.51,6.12,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,333,24,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.03,0,NONE,,,NONE,0,10-18,NEW
EU_559707_R1,EU_LN_62318,8/31/25 21:14,12358,2,NEW,Austria,EU,15056N,EDWARDIAN PARASOL NATURAL,MISC,OTHER,UNKNOWN,5.95,0.2,1.19,7.14,3.57,42.84,EU_CENTRAL,5.99,EUR,12,B2C,1,DE,0,21,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,10-18,NEW
EU_571705_R1,EU_LN_76175,12/8/25 2:32,12360,3,NEW,Austria,EU,22274,FELTCRAFT DOLL EMILY,MISC,OTHER,UNKNOWN,2.95,0.2,0.59,3.54,1.77,10.62,EU_CENTRAL,5.99,EUR,6,B2C,1,DE,148,8,HOME_LINE,M,0,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,1,BRONZE,c12360@loyal.eu,+43 555 360 360,SMS,1,8-16,NEW
EU_545570_R11,EU_LN_479414,7/2/25 3:38,12817,1,NEW,Austria,EU,POST,POSTAGE,MISC,OTHER,UNKNOWN,40.0,0.2,8.0,48.0,24.0,24.0,EU_CENTRAL,5.99,EUR,1,B2C,0,DE,0,10,HOME_LINE,M,1,14,STANDARD,1,SIMPLIFIED,UPS,EXPRESS,3,0,0.05,0,NONE,,,NONE,0,16-20,NEW
